replicate,mean_injuries,injury_rate,rush_mean_injury_difference,rush_injury_rate_difference,borough_injury_rate_manhattan,borough_injury_rate_bronx,borough_injury_rate_brooklyn,borough_injury_rate_queens,borough_injury_rate_staten_island
144,0.3325078096417415,0.24588410773084174,-0.026875148312754227,-0.008963758792630394,0.19835943325876212,0.2670417858131169,0.26071033131760496,0.24064331880354728,0.22860791826309068
145,0.3326954286625578,0.24564020300378053,-0.02799742795705773,-0.007415696995796889,0.20201770130593552,0.26799887944719397,0.2643081894718939,0.24154443268309894,0.22244488977955912
146,0.3296653814763741,0.24363267948104578,-0.023659804234520798,-0.009228285385424723,0.18990489214894013,0.26962949607860814,0.2651480062318413,0.24357740055738536,0.21679946879150067
147,0.33213257160010884,0.24523682210902542,-0.025832343262423396,-0.008533805964058117,0.2011373470144641,0.26565221376844805,0.26251818882136435,0.24047127536377827,0.22457067371202113
148,0.33605380913517013,0.24761958367339282,-0.024324687783387033,-0.012707103099091233,0.19819089207735496,0.2646470160116448,0.26869029929951177,0.24845220717773192,0.2116764514024788
149,0.32974981003574144,0.24453325078096416,-0.025344559276666345,-0.008191358846084296,0.19313438415052023,0.26315305371596764,0.2662859560067682,0.24323914472021432,0.21513002364066194
150,0.32970290528053736,0.24428934605390296,-0.02176103938076862,-0.0067464029263581415,0.19599109131403117,0.2670959550154181,0.2626826255484091,0.24384843757862426,0.221630615640599
151,0.32694490567453727,0.24362329853000497,-0.01817823485669029,-0.0016656534557744074,0.1972768159694412,0.25797477744807124,0.2640209627657326,0.24774980930587337,0.20046775810223855
152,0.33432771414365986,0.24594977438812746,-0.026529822302575057,-0.007054546721086713,0.1982031874961541,0.2690520446096654,0.2624336377150138,0.2474024008877232,0.21219903691813805
153,0.32584733440276176,0.240452537078209,-0.031242340119892964,-0.011650118910199292,0.1936834328633873,0.2531587199114636,0.2578901043631334,0.2378737541528239,0.21914102130537708
154,0.3298905243013537,0.24367958423624986,-0.02512163974045445,-0.008984875970568296,0.1999010390895596,0.2614717015972671,0.26373116055220164,0.23833147716918093,0.22433333333333333
155,0.3301062861752925,0.24262891771967843,-0.0202481792515794,-0.00781978974295161,0.1970139968895801,0.2618061309030654,0.25720658166056476,0.24077185479354413,0.22981770833333334
156,0.3337179523260068,0.2456308220527397,-0.03472526512563828,-0.011681574198179362,0.19970082273747194,0.2566941998729237,0.26409833988087694,0.2466493400601335,0.2175084175084175
